端,功能,功能明细,功能描述
租务PC端,商户管理,商户管理,进行商户资料增删改查，商户启用、停用
,,商户权限管理,商户管理员账号开通及商户通行权限赋权的管理。
,空间管理,空间管理,维护空间基础资料
,,空间权限管理,空间权限管理赋权给指定商户员工
,基础资料,项目管理,"1.项目编号、项目名称；
2.项目增删改查；"
,,场地管理,"1.场地编号、场地名称；
2.场地增删改查；"
,,楼层管理,"1.楼层编号、项目名称；
2.楼层增删改查；"
,通行管理,商户访客管理,租务管理人员可在此模块查看各个商户的访客通行申请记录
,,通行记录,租务管理人员可在此模块查看有权限的项目下所有设备的通行记录
,,通行设备,"租务管理人员可在此模块管理通行设备信息。
设备的增删改查，不对接硬件"
,,访客黑名单,租务管理人员可在此模块管理黑名单访客，添加如黑名单的访客，不可提交访客预约申请，也不可被邀请访问
,,通行厂商,租务管理人员可在此模块管理有权限的项目下通行厂商信息，可配置与厂商的对接信息
,通行设置,通行规则,租务管理人员可在此模块设置项目维度的员工通行码更新频率、访客通行码的通行次数限制
,,设备类型,租务管理人员可在此模块设置项目维度的通行设备类型，在维护通行设备时可选择到此处的类型
,,商户规则,租务管理人员可在此模块设置通用的商户通行规则，对于未在商户管理页面设置规则的商户默认取此处的规则
商户PC端,商户管理,商户管理,编辑查看商户基本资料。查看商户拥有的通行权限，员工批量导入时，excel中为员工添加进出权限可从此处查询权限代码
,,商户管理员,商户可查看和编辑管理员，管理员可查看审批商户下的所有访客申请单
,员工管理,员工列表,可查看员工，新增员工、批量导入员工、邀请成为员工，可对员工进行基本的管理操作
,,进出权限,可从商户拥有的权限角度，批量设置拥有对应权限的员工
,,员工审批,员工在小程序端提交申请成为员工，可在员工审批列表看见并操作对应申请单
,角色权限,查询角色,查询商户下的角色，可选择角色后添加员工到指定角色下。角色包含基本信息以及角色的功能权限
,,角色操作,在角色权限页，可对角色进行相关操作：编辑、查看详情、删除、移除员工
,,添加员工,角色列表页，点击“添加员工”，可在所选角色下添加多个员工。员工即拥有角色及其所配置的菜单与操作权限
,访客管理,访客管理,"访客管理员可查看到该商户下所有申请单，被访人仅可查看到被访人为自己的申请单。
访客管理列表页，点击访客通知状态，可查看每个访客的通知明细"
,,访客审批,查看访客预约单、邀约单，根据审批设置具有审批权限的人（管理员/被访人）进行审批操作，对已生效的通行码可进行作废操作
,,访客邀约,被访人主动发起访客邀约，被邀约的访客通过手机短信接收临时通行码
,访客设置,审批设置,可设置商户的访客预约、邀约申请单的审批规则
,,到访类型,可设置商户的 到访类型，在商户的访客预约/邀约申请时，获取此处的配置
,,表单信息,可设置访客预约、邀约申请表单中的字段填写规则
访客小程序,员工申请,员工申请,新员工可在小程序端发起员工申请，商户后台审核通过后，自动创建正式员工账号。后续可以员工身份登录小程序，使用员工通行码，以及操作访客预约等功能
,小程序授权登录,小程序授权登录,用户可选择登录身份，为商户还是普通访客。不同身份登录后，可操作权限功能不同
,商户员工通行码,商户员工通行码,用户可查看并出示通行二维码，在闸机/电梯扫描区出示二维码，实现通行
,商户访客审批,商户访客审批,商户管理员或开启被访人审批时的被访员工，可以进行访客预约申请单的审批
,访客预约,访客预约,外部访客在小程序选择身份页，选择普通用户，微信授权登录。可在小程序首页金刚区点击访客预约，填写预约申请单。可选择订阅消息提醒，在申请单审核通过后会消息提醒申请人。在到达预约到访时间后，可在申请单详情页看到临时通行码
,人脸采集,人脸采集,员工申请时，拍照上传图片，人脸照片采集，1人只支持采集1张照片。
对接类,对接类,闸机系统对接,"支持与闸机系统对接实现刷码通行。
方案：通行小程序提供员工通行码，第三方硬件设备识别到通行码后，调用服务端接口【用户校验接口】，检查是否允许放行，要是允许则放行，要是不允许则不给放行。检查允许放行后，异步记录通行记录。"
,,,刷卡方案： 员工刷卡方案，卡的管理、制作和信息录入由第三方管理，海鼎商户B端提供员工与通行卡的资料的映射关系。刷卡后，第三方硬件设备读取到卡的信息后，调用海鼎服务端接口【用户校验接口】，检查是否允许放行，要是允许则放行，要是不允许则不给放行。检查允许放行后，异步记录通行记录。ps：1个人只有1张通行卡。ps：卡管理和制卡流程不在海鼎管理
,,,人脸通行方案： 访客通行小程序提供商户员工人员录入能力，海鼎提供【人脸照片获取接口】的对外接口，第三方设备调用海鼎提供接口，获取人脸照片，存入到设备本机的人脸库。设备识别到人脸后，设备判断人脸库中是否有此人，要是无此人，则不允许放行。有此人则调用【用户校验接口】，检查是否允许放行，要是允许则放行，要是不允许则不给放行。检查允许放行后，异步记录通行记录。
,,接口对接,"硬件设备和海鼎通讯接口：
    人脸照片获取接口：
             请求类型：https/http post
            入参：设备id、最后修改开始时间，最后修改结束时间
            返回值：人脸id、人脸照片Base64字符串、类型（新增、删除）
    用户校验接口：
             请求类型：https/http post
            入参：类型（扫码、刷脸、刷卡）、passcode（二维码、人脸id、刷卡卡号）、设备id、进出方向
            返回值：code、msg    返回Json格式字符串。若接口执行正常 code=0，msg=”Success”。若接口执行异常，code=-1，msg返回异常信息"
,,会员小程序对接,通行小程序注册为会员后，调用微盟客户注册接口，备注字段（打标）
,,短信平台对接,短信模板消息，默认支持阿里云和腾讯云短信。ps:客户需要外采短信
